wl	W
717.964	1799.954444
718.37	1777.068889
718.777	1764.065556
719.183	1750.282222
719.589	1724.535556
719.996	1699.31
720.402	1662.381111
720.808	1637.155556
721.214	1614.79
721.62	1597.625556
722.026	1573.44
722.432	1546.133333
722.838	1518.827778
723.244	1506.085556
723.65	1490.741111
724.055	1480.598889
724.461	1460.574444
724.867	1441.07
725.272	1411.423333
725.678	1392.438889
726.083	1377.875556
726.488	1363.832222
726.894	1348.748889
727.299	1331.845556
727.704	1313.121111
728.109	1300.117778
728.514	1284.254444
728.919	1272.552222
729.324	1262.93
729.729	1250.967778
730.134	1236.144444
730.538	1221.581111
730.943	1219.501111
731.348	1196.356667
731.752	1192.456667
732.157	1190.896667
732.561	1177.373333
732.966	1163.33
733.37	1142.525556
733.774	1140.965556
734.178	1127.182222
734.582	1106.376667
734.987	1097.274444
735.391	1080.63
735.795	1063.725556
736.198	1062.425556
736.602	1051.503333
737.006	1045.261111
737.41	1034.337778
737.813	1026.795556
738.217	1016.133333
738.621	1015.353333
739.024	1007.031111
739.427	993.7677778
739.831	980.7644444
740.234	965.1611111
740.637	962.8211111
741.04	943.5766667
741.444	933.4344444
741.847	926.9333333
742.25	911.8488889
742.652	909.2488889
743.055	903.2677778
743.458	902.2277778
743.861	899.3666667
744.264	887.6633333
744.666	880.1222222
745.069	873.3611111
745.471	863.4788889
745.874	860.0988889
746.276	850.4766667
746.678	841.3744444
747.081	830.7122222
747.483	829.9322222
747.885	822.3911111
748.287	819.79
748.689	814.3288889
749.091	807.0466667
749.493	803.4055556
749.895	795.0833333
750.296	791.1822222
750.698	785.46
751.1	781.2988889
751.501	775.8377778
751.903	776.3577778
752.304	774.7966667
752.706	775.5766667
753.107	768.8155556
753.508	764.3944444
753.909	762.0544444
754.311	752.9533333
754.712	751.9133333
755.113	746.9722222
755.514	739.4311111
755.915	724.3477778
756.315	722.2677778
756.716	726.9488889
757.117	718.8877778
757.518	716.8077778
757.918	718.6277778
758.319	707.1844444
758.719	710.5644444
759.12	702.5022222
759.52	699.3822222
759.92	695.2211111
760.321	677.0166667
760.721	668.6944444
761.121	664.0133333
761.521	656.2111111
761.921	654.1311111
762.321	646.59
762.721	637.2277778
763.12	639.0477778
763.52	630.4655556
763.92	632.0255556
764.319	633.0655556
764.719	620.0622222
765.118	617.7222222
765.518	610.7011111
765.917	605.76
766.317	610.9611111
766.716	606.02
767.115	600.0388889
767.514	604.98
767.913	597.6988889
768.312	602.9
768.711	592.2377778
769.11	589.8966667
769.509	584.6955556
769.907	580.0144444
770.306	576.8933333
770.705	573.7722222
771.103	564.15
771.502	571.9511111
771.9	573.7711111
772.299	574.2911111
772.697	576.8922222
773.095	577.1522222
773.493	582.0933333
773.891	580.2733333
774.29	581.0544444
774.688	587.5566667
775.085	590.4177778
775.483	589.3777778
775.881	586.7766667
776.279	583.3955556
776.677	574.8133333
777.074	568.3122222
777.472	559.99
777.869	557.1288889
778.267	542.5655556
778.664	539.7044444
779.061	534.7633333
779.459	536.8444444
779.856	528.7822222
780.253	539.7044444
780.65	532.6833333
781.047	542.8255556
781.444	544.9055556
781.841	543.8644444
782.238	535.2822222
782.634	530.8611111
783.031	528.78
783.428	530.3411111
783.824	521.4988889
784.221	525.3988889
784.617	516.2966667
785.014	506.4144444
785.41	505.1144444
785.806	502.7744444
786.202	505.6355556
786.598	504.5955556
786.994	503.8144444
787.39	507.1955556
787.786	508.2366667
788.182	501.9955556
788.578	510.8377778
788.974	509.5377778
789.369	504.0766667
789.765	493.6744444
790.161	485.8722222
790.556	483.5322222
790.952	477.8111111
791.347	473.91
791.742	474.95
792.137	465.8477778
792.533	466.1077778
792.928	466.3677778
793.323	465.0666667
793.718	473.3888889
794.113	482.7511111
794.508	484.8311111
794.902	481.45
795.297	488.9922222
795.692	490.5533333
796.086	499.3955556
796.481	500.4355556
796.875	502.7766667
797.27	497.8355556
797.664	492.3744444
798.058	488.9944444
798.453	482.2333333
798.847	478.8522222
799.241	478.8522222
799.635	467.9288889
800.029	468.1888889
800.423	466.8888889
