wl	RGBW
696.742	1790.558889
697.151	1774.435556
697.561	1746.348889
697.97	1737.767778
698.38	1721.383333
698.789	1700.577778
699.199	1686.794444
699.608	1663.388889
700.017	1644.924444
700.426	1622.3
700.835	1597.333333
701.244	1579.648889
701.653	1550.262222
702.062	1532.838889
702.471	1507.873333
702.88	1479.266667
703.289	1453.261111
703.697	1438.177778
704.106	1426.734444
704.514	1398.648889
704.923	1383.825556
705.331	1361.46
705.74	1342.475556
706.148	1334.153333
706.556	1322.191111
706.965	1312.047778
707.373	1283.181111
707.781	1271.738889
708.189	1254.574444
708.597	1242.872222
709.005	1219.726667
709.413	1208.284444
709.82	1196.322222
710.228	1188.78
710.636	1181.498889
711.043	1178.118889
711.451	1164.595556
711.858	1153.933333
712.266	1141.71
712.673	1151.592222
713.081	1140.668889
713.488	1139.628889
713.895	1120.644444
714.302	1102.44
714.709	1101.658889
715.116	1085.275556
715.523	1076.953333
715.93	1056.668889
716.337	1037.684444
716.744	1030.923333
717.15	1006.217778
717.557	986.4533333
717.964	971.63
718.37	948.2255556
718.777	937.5633333
719.183	927.1611111
719.589	916.7588889
719.996	905.0566667
720.402	892.3133333
720.808	890.4922222
721.214	890.4922222
721.62	888.9322222
722.026	873.0677778
722.432	867.6066667
722.838	861.6255556
723.244	861.6255556
723.65	856.1644444
724.055	849.4033333
724.461	837.4411111
724.867	825.7388889
725.272	825.2188889
725.678	825.7388889
726.083	823.3977778
726.488	814.2955556
726.894	819.2366667
727.299	814.8155556
727.704	803.6333333
728.109	798.1722222
728.514	798.6922222
728.919	781.0077778
729.324	782.8288889
729.729	771.6466667
730.134	770.8666667
730.538	749.2822222
730.943	740.44
731.348	740.7
731.752	735.2388889
732.157	722.4955556
732.561	719.3744444
732.966	709.7522222
733.37	697.7888889
733.774	693.1077778
734.178	695.1877778
734.582	695.1877778
734.987	685.8255556
735.391	676.2033333
735.795	675.9433333
736.198	666.5822222
736.602	657.74
737.006	653.0588889
737.41	644.9966667
737.813	633.8144444
738.217	628.6133333
738.621	626.2722222
739.024	622.3711111
739.427	608.3277778
739.831	610.1477778
740.234	603.3866667
740.637	605.4677778
741.04	601.5666667
741.444	601.8266667
741.847	583.1022222
742.25	579.7222222
742.652	577.1211111
743.055	586.2233333
743.458	584.6633333
743.861	586.2233333
744.264	575.5611111
744.666	572.1811111
745.069	573.2211111
745.471	583.3633333
745.874	578.9422222
746.276	576.0822222
746.678	570.1011111
747.081	571.6611111
747.483	570.6211111
747.885	574.7811111
748.287	575.3011111
748.689	565.9388889
749.091	569.32
749.493	562.5577778
749.895	564.1177778
750.296	568.5388889
750.698	570.6188889
751.1	569.5788889
751.501	568.7988889
751.903	574.78
752.304	578.6811111
752.706	567.2377778
753.107	568.7988889
753.508	559.1766667
753.909	545.1333333
754.311	530.05
754.712	519.1266667
755.113	514.1855556
755.514	506.9044444
755.915	497.2822222
756.315	498.0633333
756.716	500.4033333
757.117	499.3633333
757.518	505.6044444
757.918	507.9455556
758.319	516.2677778
758.719	515.7477778
759.12	512.1066667
759.52	521.9888889
759.92	521.4688889
760.321	513.1466667
760.721	511.3255556
761.121	503.2644444
761.521	497.2822222
761.921	492.8611111
762.321	491.8211111
762.721	488.18
763.12	474.6566667
763.52	475.4366667
763.92	476.7377778
764.319	468.9366667
764.719	467.6355556
765.118	462.4344444
765.518	459.0533333
765.917	457.2333333
766.317	457.4933333
766.716	457.4933333
767.115	452.2922222
767.514	458.0133333
767.913	463.4744444
768.312	460.8744444
768.711	470.2366667
769.11	469.7166667
769.509	469.4566667
769.907	461.3944444
770.306	465.8155556
770.705	465.2955556
771.103	463.4744444
771.502	459.5733333
771.9	453.0722222
772.299	439.2888889
772.697	436.4288889
773.095	431.7477778
773.493	433.3088889
773.891	426.8077778
774.29	426.0266667
774.688	413.0244444
775.085	420.0466667
775.483	433.3088889
775.881	447.0922222
776.279	442.1511111
776.677	439.29
777.074	439.81
777.472	444.4911111
777.869	443.7111111
778.267	449.6922222
778.664	447.3511111
779.061	440.33
779.459	435.3888889
779.856	443.19
780.253	445.7911111
780.65	447.0911111
781.047	443.45
781.444	435.1277778
781.841	437.4677778
782.238	425.7655556
782.634	429.4066667
783.031	420.8255556
783.428	415.6244444
783.824	419.2644444
784.221	427.0666667
784.617	426.8066667
785.014	434.6088889
785.41	425.7677778
785.806	439.5511111
786.202	437.21
786.598	441.8911111
786.994	443.7122222
787.39	441.8922222
787.786	429.4088889
788.182	435.65
788.578	440.5911111
788.974	451.2533333
789.369	450.2122222
789.765	448.1322222
790.161	448.6522222
790.556	444.4911111
790.952	441.63
791.347	447.3511111
791.742	436.9488889
792.137	427.8466667
792.533	418.4844444
